N	Terminals	Jump	Accept	Stack	Return	Error
1	void int	2	0	0	0	1
2	void int 	10	0	0	0	0
3	eps	4	0	0	0	1
4	eps	-1	0	0	1	1
5	void	7	0	0	0	0
6	int	8	0	0	0	1
7	void	-1	1	0	1	1
8	int	9	0	0	0	1
9	int	-1	1	0	1	1
10	void int	5	0	1	0	1
11	main	12	1	0	0	1
12	(	13	1	0	0	1
13	)	14	1	0	0	1
14	{	15	1	0	0	1
15	int var }	17	0	1	0	1
16	}	-1	1	0	1	1
17	int	20	0	0	0	0
18	var	22	0	0	0	0
19	}	24	0	0	0	1
20	int	25	0	1	0	1
21	int var }	17	0	0	0	1
22	var	29	0	1	0	1
23	int var }	17	0	0	0	1
24	}	-1	0	0	1	1
25	int	26	0	0	0	1
26	int	8	0	1	0	1
27	var	34	0	1	0	1
28	;	-1	1	0	1	1
29	var	30	0	0	0	1
30	var	35	0	1	0	1
31	= += -= *= ++ --	89	0	1	0	1
32	var const - (	44	0	1	0	1
33	;	-1	1	0	1	1
34	var	35	0	0	0	1
35	var	38	0	1	0	1
36	= , ;	39	0	1	0	1
37	 ; ,	83	0	0	0	1
38	var	-1	1	0	1	1
39	=	42	1	0	0	0
40	 ; ,	41	0	0	0	1
41	; ,	-1	0	0	1	1
42	var const - (	43	0	0	0	1
43	var const - (	44	0	0	0	1
44	-	46	0	0	0	0
45	var const (	47	0	0	0	1
46	-	47	1	0	0	1
47	var const  (	48	0	0	0	1
48	(	50	0	0	0	0
49	var const	53	0	0	0	1
50	(	51	1	0	0	1
51	var const - (	43	0	1	0	1
52	)	57	1	0	0	1
53	var const	54	0	1	0	1
54	var	35	0	0	0	0
55	const	56	0	0	0	1
56	const	-1	1	0	1	1
57	; + - * / == != > < => =<	58	0	0	0	1
58	 + - * / == != > < => =<	61	0	0	0	0
59	;	60	0	0	0	1
60	;	-1	1	0	1	1
61	+ - * / == != > < => =<	63	0	1	0	1
62	var const (	48	0	0	0	1
63	+	73	0	0	0	0
64	-	74	0	0	0	0
65	*	75	0	0	0	0
66	/	76	0	0	0	0
67	==	77	0	0	0	0
68	!=	78	0	0	0	0
69	<	79	0	0	0	0
70	>	80	0	0	0	0
71	<=	81	0	0	0	0
72	>=	82	0	0	0	1
73	+	-1	1	0	1	1
74	-	-1	1	0	1	1
75	*	-1	1	0	1	1
76	/	-1	1	0	1	1
77	==	-1	1	0	1	1
78	!=	-1	1	0	1	1
79	<	-1	1	0	1	1
80	>	-1	1	0	1	1
81	<=	-1	1	0	1	1
82	>=	-1	1	0	1	1
83	; ,	84	0	0	0	1
84	,	87	0	0	0	0
85	;	86	0	0	0	1
86	;	-1	1	0	1	1
87	,	88	1	0	0	1
88	var	34	0	0	0	1
89	=	95	0	0	0	0
90	+=	96	0	0	0	0
91	-=	97	0	0	0	0
92	*=	98	0	0	0	0
93	++	99	0	0	0	0
94	--	100	0	0	0	1
95	=	-1	1	0	1	1
96	+=	-1	1	0	1	1
97	-=	-1	1	0	1	1
98	*=	-1	1	0	1	1
99	++	-1	1	0	1	1
100	--	-1	1	0	1	1
