N	Terminals	Jump	Accept	Stack	Return	Error
1	void int float	2	0	0	0	1
2	void int float	13	0	0	0	0
3	eps	4	0	0	0	1
4	eps	-1	0	0	1	1
5	void	7	0	0	0	0
6	int float	8	0	0	0	1
7	void	-1	1	0	1	1
8	int float	9	0	0	0	1
9	int	11	0	0	0	0
10	float	12	0	0	0	1
11	int	-1	1	0	1	1
12	float	-1	1	0	1	1
13	void int float	5	0	1	0	1
14	main	15	1	0	0	1
15	 (	16	1	0	0	1
16	 )	17	1	0	0	1
17	 {	18	1	0	0	1
18	var int float }	20	0	1	0	1
19	 }	-1	1	0	1	1
20	var	23	0	0	0	0
21	int float	25	0	0	0	0
22	 }	27	0	0	0	1
23	var	28	0	1	0	1
24	var int float }	20	0	0	0	1
25	int float	33	0	1	0	1
26	var int float }	20	0	0	0	1
27	 }	-1	0	0	1	1
28	var	29	0	0	0	1
29	var	68	0	1	0	1
30	 = += -= *=	96	0	1	0	1
31	 - ( const var	51	0	1	0	1
32	 ;	-1	1	0	1	1
33	int float	34	0	0	0	1
34	int float	8	0	1	0	1
35	var	37	0	1	0	1
36	 ;	-1	1	0	1	1
37	var	38	0	0	0	1
38	var	68	0	1	0	1
39	 = , ;	46	0	1	0	1
40	 , ;	41	0	0	0	1
41	 ,	43	0	0	0	0
42	 ;	45	0	0	0	1
43	 ,	44	1	0	0	1
44	var	37	0	0	0	1
45	 ;	-1	0	0	1	1
46	 =	49	0	0	0	0
47	 , ;	48	0	0	0	1
48	 , ;	-1	0	0	1	1
49	 =	50	1	0	0	1
50	 - ( const var	51	0	0	0	1
51	 ( const var	53	0	0	0	0
52	 -	54	0	0	0	1
53	 ( const var	56	0	0	0	1
54	 -	55	1	0	0	1
55	 ( const var	56	0	0	0	1
56	const var	62	0	0	0	0
57	 (	58	0	0	0	1
58	 (	59	1	0	0	1
59	 - ( const var	51	0	1	0	1
60	 )	61	1	0	0	1
61	 + - * == != < > ; , ] )	77	0	0	0	1
62	const var	64	0	1	0	1
63	 + - * == != < > ; , ] )	77	0	0	0	1
64	const	66	0	0	0	0
65	var	67	0	0	0	1
66	const	-1	1	0	1	1
67	var	68	0	0	0	1
68	var	69	0	0	0	1
69	var	70	1	0	0	1
70	 [ + - * == != < > l , ; ) ] =	71	0	0	0	1
71	 [	73	0	0	0	0
72	 + - * == != < > ; , ] ) =	76	0	0	0	1
73	 [	74	1	0	0	1
74	 - ( const var	51	0	1	0	1
75	 ]	-1	1	0	1	1
76	 + - * == != < > ; , ] ) =	-1	0	0	1	1
77	 + - * == != < >	79	0	0	0	0
78	 ; , ] )	81	0	0	0	1
79	 + - * == != < >	82	0	1	0	1
80	 ( const var	56	0	0	0	1
81	 ; , ] )	-1	0	0	1	1
82	 +	89	0	0	0	0
83	 -	90	0	0	0	0
84	 *	91	0	0	0	0
85	 ==	92	0	0	0	0
86	 !=	93	0	0	0	0
87	 <	94	0	0	0	0
88	 >	95	0	0	0	1
89	 +	-1	1	0	1	1
90	 -	-1	1	0	1	1
91	 *	-1	1	0	1	1
92	 ==	-1	1	0	1	1
93	 !=	-1	1	0	1	1
94	 <	-1	1	0	1	1
95	 >	-1	1	0	1	1
96	 =	100	0	0	0	0
97	 +=	101	0	0	0	0
98	 -=	102	0	0	0	0
99	 *=	103	0	0	0	1
100	 =	-1	1	0	1	1
101	 +=	-1	1	0	1	1
102	 -=	-1	1	0	1	1
103	 *=	-1	1	0	1	1
